Date,Adj Close,Close,High,Low,Open,Volume
2019-05-31 00:00:00,161.5,161.5,165.0,155.5,160.5,994
2019-06-03 00:00:00,145.5,145.5,179.0,145.0,165.0,3060
2019-06-04 00:00:00,153.5,153.5,153.5,146.5,148.5,660
2019-06-05 00:00:00,153.5,153.5,155.5,149.5,155.5,706
2019-06-06 00:00:00,153.0,153.0,156.5,149.5,152.0,292
2019-06-07 00:00:00,159.0,159.0,162.0,153.5,154.0,924
2019-06-10 00:00:00,162.5,162.5,178.0,158.5,160.5,1898
2019-06-11 00:00:00,157.5,157.5,162.0,152.5,160.5,574
2019-06-12 00:00:00,157.0,157.0,157.5,152.5,157.5,354
2019-06-13 00:00:00,157.5,157.5,167.5,155.0,158.5,1040
2019-06-14 00:00:00,141.5,141.5,162.5,122.5,160.0,5982
2019-06-17 00:00:00,145.5,145.5,154.0,134.0,135.0,758
2019-06-18 00:00:00,150.0,150.0,153.5,140.5,145.5,1008
2019-06-19 00:00:00,150.0,150.0,157.0,147.0,147.0,1576
2019-06-20 00:00:00,150.5,150.5,154.0,149.5,152.5,430
2019-06-21 00:00:00,148.5,148.5,162.0,147.5,150.0,956
2019-06-24 00:00:00,146.5,146.5,155.0,146.5,149.5,654
2019-06-25 00:00:00,145.0,145.0,160.0,143.5,146.5,1604
2019-06-26 00:00:00,153.0,153.0,153.0,144.0,146.0,924
2019-06-27 00:00:00,142.5,142.5,155.0,139.5,149.5,3082
2019-06-28 00:00:00,142.5,142.5,145.5,141.5,141.5,202
2019-07-01 00:00:00,141.0,141.0,145.5,140.5,142.5,396
2019-07-02 00:00:00,118.0,118.0,143.5,117.0,141.5,5614
2019-07-03 00:00:00,125.5,125.5,127.5,118.5,124.0,1754
2019-07-05 00:00:00,122.5,122.5,125.0,122.5,125.0,410
2019-07-08 00:00:00,125.0,125.0,125.0,117.0,123.5,846
2019-07-09 00:00:00,108.5,108.5,125.0,101.5,120.0,13220
2019-07-10 00:00:00,113.0,113.0,116.5,107.0,110.0,6398
2019-07-11 00:00:00,109.0,109.0,112.5,107.5,111.5,912
2019-07-12 00:00:00,109.0,109.0,113.0,106.0,108.5,4612
2019-07-15 00:00:00,112.0,112.0,117.5,108.0,111.0,2622
2019-07-16 00:00:00,114.5,114.5,119.5,108.0,111.0,1490
2019-07-17 00:00:00,120.0,120.0,120.5,112.0,115.0,3070
2019-07-18 00:00:00,126.0,126.0,136.0,116.0,119.0,4686
2019-07-19 00:00:00,126.0,126.0,129.5,120.5,126.0,1734
2019-07-22 00:00:00,114.0,114.0,124.0,113.0,124.0,1530
2019-07-23 00:00:00,108.5,108.5,132.0,100.0,125.5,15958
2019-07-24 00:00:00,111.5,111.5,116.0,102.5,104.0,2726
2019-07-25 00:00:00,115.5,115.5,119.0,112.5,112.5,1582
2019-07-26 00:00:00,109.0,109.0,114.0,108.0,113.5,1144
2019-07-29 00:00:00,114.0,114.0,119.5,110.0,116.5,1200
2019-07-30 00:00:00,114.0,114.0,117.5,112.5,113.5,438
2019-07-31 00:00:00,113.0,113.0,117.0,112.5,113.0,1170
