Date,Adj Close,Close,High,Low,Open,Volume
2018-05-07 00:00:00,113.0,113.0,114.0,109.0,110.0,1309.0
2018-05-08 00:00:00,111.0,111.0,114.0,111.0,112.0,397.0
2018-05-09 00:00:00,118.0,118.0,126.0,111.0,115.0,17106.0
2018-05-10 00:00:00,111.0,111.0,114.0,110.0,111.0,2710.0
2018-05-11 00:00:00,111.0,111.0,112.0,105.0,110.0,2387.0
2018-05-14 00:00:00,105.0,105.0,110.0,105.0,110.0,2522.0
2018-05-15 00:00:00,107.0,107.0,107.0,104.0,105.0,1525.0
2018-05-16 00:00:00,106.0,106.0,109.0,104.0,109.0,927.0
2018-05-17 00:00:00,106.0,106.0,107.0,105.0,106.0,1036.0
2018-05-18 00:00:00,106.0,106.0,106.0,103.0,105.0,933.0
2018-05-21 00:00:00,106.0,106.0,107.0,105.0,106.0,479.0
2018-05-22 00:00:00,104.0,104.0,106.0,101.0,106.0,1441.0
2018-05-23 00:00:00,96.0,96.0,105.0,95.0,104.0,6551.0
2018-05-24 00:00:00,92.0,92.0,94.0,84.0,94.0,4705.0
2018-05-25 00:00:00,96.0,96.0,98.0,90.0,93.0,1103.0
2018-05-29 00:00:00,95.0,95.0,96.0,89.0,96.0,905.0
2018-05-30 00:00:00,91.0,91.0,93.0,91.0,93.0,351.0
2018-05-31 00:00:00,95.0,95.0,96.0,91.0,93.0,951.0
2018-06-01 00:00:00,96.0,96.0,97.0,93.0,96.0,434.0
2018-06-04 00:00:00,91.0,91.0,95.0,90.0,93.0,1045.0
2018-06-05 00:00:00,92.0,92.0,94.0,91.0,93.0,1252.0
2018-06-06 00:00:00,102.0,102.0,127.0,101.0,117.0,57102.0
2018-06-07 00:00:00,105.0,105.0,120.0,102.0,119.0,22954.0
2018-06-08 00:00:00,101.0,101.0,105.0,100.0,104.0,4575.0
2018-06-11 00:00:00,101.0,101.0,104.0,98.0,100.0,3384.0
2018-06-12 00:00:00,95.0,95.0,99.0,94.0,99.0,2323.0
2018-06-13 00:00:00,92.0,92.0,99.0,91.0,99.0,2193.0
2018-06-14 00:00:00,93.0,93.0,97.0,92.0,93.0,1157.0
2018-06-15 00:00:00,95.0,95.0,95.0,90.0,90.0,1235.0
2018-06-18 00:00:00,85.0,85.0,91.0,84.0,90.0,6002.0
2018-06-19 00:00:00,86.0,86.0,93.0,85.0,85.0,3172.0
2018-06-20 00:00:00,83.0,83.0,89.0,81.0,87.0,5460.0
2018-06-21 00:00:00,75.0,75.0,83.0,72.0,82.0,6257.0
2018-06-22 00:00:00,76.0,76.0,80.0,75.0,76.0,2616.0
2018-06-25 00:00:00,71.0,71.0,80.0,71.0,77.0,2569.0
2018-06-26 00:00:00,67.0,67.0,72.0,65.0,72.0,1736.0
2018-06-27 00:00:00,69.0,69.0,73.0,67.0,67.0,2577.0
2018-06-28 00:00:00,66.0,66.0,75.0,61.0,71.0,4803.0
2018-06-29 00:00:00,62.0,62.0,66.0,61.0,65.0,3929.0
2018-07-02 00:00:00,60.0,60.0,62.0,58.0,60.0,2185.0
2018-07-03 00:00:00,60.0,60.0,62.0,57.0,60.0,1096.0
2018-07-05 00:00:00,61.0,61.0,69.0,59.0,64.0,4022.0
2018-07-06 00:00:00,60.0,60.0,63.0,60.0,62.0,3508.0
2018-07-09 00:00:00,73.0,73.0,82.0,63.0,70.0,15550.0
2018-07-10 00:00:00,79.0,79.0,82.0,70.0,73.0,12599.0
2018-07-11 00:00:00,74.0,74.0,80.0,72.0,80.0,4815.0
2018-07-12 00:00:00,72.0,72.0,77.0,70.0,74.0,2533.0
2018-07-13 00:00:00,74.0,74.0,74.0,70.0,70.0,1290.0
2018-07-16 00:00:00,75.0,75.0,82.0,66.0,66.0,22877.0
2018-07-17 00:00:00,73.80000305175781,73.80000305175781,127.5999984741211,71.5999984741211,112.0,296720.0
2018-07-18 00:00:00,68.0,68.0,79.4000015258789,63.5,79.4000015258789,66320.0
2018-07-19 00:00:00,62.599998474121094,62.599998474121094,73.5,59.5,67.4000015258789,42740.0
2018-07-20 00:00:00,66.9000015258789,66.9000015258789,72.69999694824219,63.900001525878906,68.69999694824219,29840.0
2018-07-23 00:00:00,67.0,67.0,69.69999694824219,65.0999984741211,66.4000015258789,6170.0
2018-07-24 00:00:00,65.30000305175781,65.30000305175781,67.0999984741211,62.70000076293945,67.0999984741211,9660.0
2018-07-25 00:00:00,59.599998474121094,59.599998474121094,65.80000305175781,58.099998474121094,64.80000305175781,24500.0
2018-07-26 00:00:00,53.29999923706055,53.29999923706055,71.5,52.0,69.30000305175781,33410.0
2018-07-27 00:00:00,33.5,33.5,38.0,31.5,38.0,134640.0
2018-07-30 00:00:00,34.400001525878906,34.400001525878906,34.79999923706055,33.5,34.599998474121094,23370.0
2018-07-31 00:00:00,31.899999618530273,31.899999618530273,34.900001525878906,31.5,34.0,22720.0
2018-08-01 00:00:00,32.5,32.5,34.0,30.700000762939453,34.0,21380.0
2018-08-02 00:00:00,31.899999618530273,31.899999618530273,33.5,31.200000762939453,33.0,11690.0
2018-08-03 00:00:00,32.20000076293945,32.20000076293945,33.20000076293945,31.600000381469727,32.099998474121094,11900.0
