Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,label
2017-11-17,-1.338339363369524,0.11077321949498191,1.800268765063169,-1.347339413031837,-1.3419668178628543,-1.3609461461555261,-1.3609461461555261,-1.3609461461555261,-1.346816910282947,-1.3326876744103682,1
2017-11-20,-1.3411652213237912,-0.08055399135723956,-0.274970966525795,-1.3512885079550936,-1.3420130929213465,-1.338339363369524,-1.3609461461555261,-1.3609461461555261,-1.3609461461555261,-1.346816910282947,0
2017-11-21,-1.3439910792780585,-0.13541951394500634,-0.2772166917597909,-1.3553737791027411,-1.3421981922726929,-1.3411652213237912,-1.338339363369524,-1.3609461461555261,-1.3609461461555261,-1.3609461461555261,0
2017-11-22,-1.346816910282947,-0.11350339569011231,-0.27950812068620445,-1.3597314026991698,-1.342753491209355,-1.3439910792780585,-1.3411652213237912,-1.338339363369524,-1.3609461461555261,-1.3609461461555261,0
2017-11-24,-1.3496427682372143,-0.1409361569839957,-0.28185300570821437,-1.3605484561494958,-1.3432162400290324,-1.346816910282947,-1.3439910792780585,-1.3411652213237912,-1.338339363369524,-1.3609461461555261,0
2017-11-27,-1.346816910282947,-0.0992604263894489,0.1609909999514789,-1.360276104999387,-1.3435864387317251,-1.3496427682372143,-1.346816910282947,-1.3439910792780585,-1.3411652213237912,-1.338339363369524,1
2017-11-28,-1.3439910792780585,-0.14078570308293234,0.15859513921567905,-1.360276104999387,-1.34400291249291,-1.346816910282947,-1.3496427682372143,-1.346816910282947,-1.3439910792780585,-1.3411652213237912,1
2017-11-29,-1.3496427682372143,-0.1354696652453608,-0.497390436117104,-1.3590505241745618,-1.3447895853980991,-1.3439910792780585,-1.346816910282947,-1.3496427682372143,-1.346816910282947,-1.3439910792780585,0
2017-11-30,-1.3326876744103682,-0.12117654464434294,1.27408116928214,-1.3579611182754547,-1.3453911589519423,-1.3496427682372143,-1.3439910792780585,-1.346816910282947,-1.3496427682372143,-1.346816910282947,1
2017-12-01,-1.3496427682372143,-0.11169794887735215,-1.3155587799007342,-1.356599361226239,-1.3461315572399506,-1.3326876744103682,-1.3496427682372143,-1.3439910792780585,-1.346816910282947,-1.3496427682372143,0
2017-12-04,-1.3439910792780585,-0.1282478779943202,0.38360775998700347,-1.3549652530269145,-1.346964505203632,-1.3496427682372143,-1.3326876744103682,-1.3496427682372143,-1.3439910792780585,-1.346816910282947,1
2017-12-05,-1.338339363369524,-0.13612163214996864,0.37413674772674965,-1.3546929018768057,-1.3474272540233097,-1.3439910792780585,-1.3496427682372143,-1.3326876744103682,-1.3496427682372143,-1.3439910792780585,1
2017-12-06,-1.338339363369524,-0.1410364595847046,-0.06162788313505841,-1.354012023352198,-1.3479825525186602,-1.338339363369524,-1.3439910792780585,-1.3496427682372143,-1.3326876744103682,-1.3496427682372143,1
2017-12-07,-1.3439910792780585,-0.13998328227726117,-0.488314049916527,-1.3529226174530908,-1.3481676518700063,-1.338339363369524,-1.338339363369524,-1.3439910792780585,-1.3496427682372143,-1.3326876744103682,0
2017-12-08,-1.3326876744103682,-0.05969105040978894,0.8098993007087885,-1.3519693877783743,-1.3483064761628603,-1.3439910792780585,-1.338339363369524,-1.338339363369524,-1.3439910792780585,-1.3496427682372143,1
2017-12-11,-1.3270359854512124,-0.13667329645386755,0.3563484180974253,-1.3487011700810527,-1.3475660783161634,-1.3326876744103682,-1.3439910792780585,-1.338339363369524,-1.338339363369524,-1.3439910792780585,1
2017-12-12,-1.3326876744103682,-0.1343161853372085,-0.4712446663151599,-1.345841481056903,-1.3472884288478324,-1.3270359854512124,-1.3326876744103682,-1.3439910792780585,-1.338339363369524,-1.338339363369524,0
2017-12-13,-1.3213842964920564,-0.13822798676485548,0.7743247193299136,-1.3433903181085802,-1.34691823014514,-1.3326876744103682,-1.3270359854512124,-1.3326876744103682,-1.3439910792780585,-1.338339363369524,1
2017-12-14,-1.338339363369524,-0.12263093235462195,-1.2663831503107281,-1.3405306277857578,-1.3467331303524819,-1.3213842964920564,-1.3326876744103682,-1.3270359854512124,-1.3326876744103682,-1.3439910792780585,0
2017-12-15,-1.3326876744103682,-0.09600059186640973,0.36505624905597434,-1.3382156410618256,-1.3465480305598239,-1.338339363369524,-1.3213842964920564,-1.3326876744103682,-1.3270359854512124,-1.3326876744103682,1
2017-12-18,-1.3270359854512124,-0.12243032715320416,0.3563484180974253,-1.3346750722143952,-1.3462703810914927,-1.3326876744103682,-1.338339363369524,-1.3213842964920564,-1.3326876744103682,-1.3270359854512124,1
2017-12-19,-1.3326876744103682,-0.14469750451057933,-0.4712446663151599,-1.3311345033669653,-1.3458298443705017,-1.3270359854512124,-1.3326876744103682,-1.338339363369524,-1.3213842964920564,-1.3326876744103682,0
2017-12-20,-1.3270359854512124,0.0037001932382341096,0.3563484180974253,-1.3282748143428156,-1.3454133706093168,-1.3326876744103682,-1.3270359854512124,-1.3326876744103682,-1.338339363369524,-1.3213842964920564,1
2017-12-21,-1.3213842964920564,-0.0774947620356182,0.347988900045043,-1.325551300244384,-1.3449968968481318,-1.3270359854512124,-1.3326876744103682,-1.3270359854512124,-1.3326876744103682,-1.338339363369524,1
2017-12-22,-1.3270359854512124,-0.08281079987318975,-0.4632129721936158,-1.3228277861459523,-1.3452745463164628,-1.3213842964920564,-1.3270359854512124,-1.3326876744103682,-1.3270359854512124,-1.3326876744103682,0
