Date,Close,lag_1,label
2018-04-20,522.5,501.25,0
2018-04-23,500.0,522.5,1
2018-04-24,461.25,500.0,1
2018-04-25,432.5,461.25,1
2018-04-26,441.25,432.5,0
2018-04-27,445.0,441.25,0
2018-04-30,436.25,445.0,1
2018-05-01,432.5,436.25,1
2018-05-02,466.25,432.5,0
2018-05-03,452.5,466.25,1
2018-05-04,460.0,452.5,0
2018-05-07,475.0,460.0,0
2018-05-08,480.0,475.0,0
2018-05-09,480.0,480.0,0
2018-05-10,471.25,480.0,1
2018-05-11,491.25,471.25,0
2018-05-14,522.5,491.25,0
2018-05-15,512.5,522.5,1
2018-05-16,525.0,512.5,0
2018-05-17,536.25,525.0,0
2018-05-18,472.0,536.25,1
2018-05-21,400.5,472.0,1
2018-05-22,413.0,400.5,0
2018-05-23,401.25,413.0,1
2018-05-24,406.25,401.25,0
2018-05-25,415.0,406.25,0
2018-05-29,447.5,415.0,0
2018-05-30,468.75,447.5,0
2018-05-31,442.5,468.75,1
2018-06-01,437.5,442.5,1
2018-06-04,388.25,437.5,1
2018-06-05,415.0,388.25,0
2018-06-06,407.5,415.0,1
2018-06-07,407.5,407.5,0
2018-06-08,406.25,407.5,1
2018-06-11,396.25,406.25,1
2018-06-12,412.5,396.25,0
2018-06-13,402.5,412.5,1
2018-06-14,397.5,402.5,1
2018-06-15,413.75,397.5,0
2018-06-18,397.5,413.75,1
2018-06-19,402.5,397.5,0
2018-06-20,413.75,402.5,0
2018-06-21,395.0,413.75,1
2018-06-22,410.0,395.0,0
2018-06-25,390.0,410.0,1
2018-06-26,402.5,390.0,0
2018-06-27,393.75,402.5,1
2018-06-28,411.25,393.75,0
2018-06-29,400.0,411.25,1
2018-07-02,402.5,400.0,0
2018-07-03,402.5,402.5,0
2018-07-05,405.0,402.5,0
2018-07-06,398.75,405.0,1
2018-07-09,396.25,398.75,1
2018-07-10,365.0,396.25,1
2018-07-11,376.25,365.0,0
2018-07-12,385.0,376.25,0
2018-07-13,368.75,385.0,1
2018-07-16,355.0,368.75,1
2018-07-17,353.75,355.0,1
2018-07-18,348.75,353.75,1
2018-07-19,355.0,348.75,0
2018-07-20,358.75,355.0,0
2018-07-23,346.25,358.75,1
2018-07-24,327.5,346.25,1
2018-07-25,317.5,327.5,1
2018-07-26,325.0,317.5,0
2018-07-27,335.0,325.0,0
2018-07-30,342.5,335.0,0
2018-07-31,361.25,342.5,0
2018-08-01,361.25,361.25,0
2018-08-02,355.0,361.25,1
2018-08-03,352.5,355.0,1
2018-08-06,367.5,352.5,0
2018-08-07,368.75,367.5,0
2018-08-08,367.5,368.75,1
2018-08-09,363.75,367.5,1
2018-08-10,341.25,363.75,1
2018-08-13,322.5,341.25,1
2018-08-14,325.0,322.5,0
2018-08-15,326.25,325.0,0
2018-08-16,342.5,326.25,0
2018-08-17,331.25,342.5,1
2018-08-20,341.25,331.25,0
2018-08-21,355.0,341.25,0
2018-08-22,357.5,355.0,0
2018-08-23,351.25,357.5,1
2018-08-24,356.25,351.25,0
2018-08-27,353.75,356.25,1
2018-08-28,375.0,353.75,0
2018-08-29,383.75,375.0,0
2018-08-30,372.5,383.75,1
2018-08-31,385.0,372.5,0
2018-09-04,377.5,385.0,1
2018-09-05,372.5,377.5,1
2018-09-06,342.5,372.5,1
2018-09-07,341.25,342.5,1
2018-09-10,337.5,341.25,1
2018-09-11,356.25,337.5,0
2018-09-12,362.5,356.25,0
2018-09-13,358.75,362.5,1
2018-09-14,358.75,358.75,0
2018-09-17,350.0,358.75,1
2018-09-18,342.5,350.0,1
2018-09-19,345.0,342.5,0
2018-09-20,350.0,345.0,0
2018-09-21,315.75,350.0,1
2018-09-24,343.25,315.75,0
2018-09-25,343.75,343.25,0
2018-09-26,323.75,343.75,1
2018-09-27,325.0,323.75,0
2018-09-28,320.0,325.0,1
2018-10-01,314.0,320.0,1
2018-10-02,291.5,314.0,1
2018-10-03,297.5,291.5,0
2018-10-04,285.75,297.5,1
2018-10-05,288.5,285.75,0
2018-10-08,277.75,288.5,1
2018-10-09,269.25,277.75,1
2018-10-10,250.75,269.25,1
2018-10-11,251.0,250.75,0
2018-10-12,260.0,251.0,0
2018-10-15,255.25,260.0,1
2018-10-16,261.25,255.25,0
2018-10-17,250.75,261.25,1
2018-10-18,242.75,250.75,1
2018-10-19,233.5,242.75,1
2018-10-22,235.25,233.5,0
2018-10-23,235.0,235.25,1
2018-10-24,215.75,235.0,1
2018-10-25,224.0,215.75,0
2018-10-26,223.0,224.0,1
2018-10-29,223.0,223.0,0
2018-10-30,220.0,223.0,1
2018-10-31,215.0,220.0,1
2018-11-01,230.75,215.0,0
2018-11-02,230.75,230.75,0
2018-11-05,231.25,230.75,0
2018-11-06,223.5,231.25,1
2018-11-07,219.0,223.5,1
2018-11-08,247.0,219.0,0
2018-11-09,234.0,247.0,1
2018-11-12,192.75,234.0,1
2018-11-13,191.75,192.75,1
2018-11-14,187.5,191.75,1
2018-11-15,201.25,187.5,0
2018-11-16,206.25,201.25,0
2018-11-19,189.75,206.25,1
2018-11-20,191.5,189.75,0
2018-11-21,199.0,191.5,0
2018-11-23,202.0,199.0,0
2018-11-26,210.0,202.0,0
2018-11-27,195.0,210.0,1
2018-11-28,201.5,195.0,0
2018-11-29,195.25,201.5,1
2018-11-30,205.0,195.25,0
2018-12-03,212.5,205.0,0
2018-12-04,189.75,212.5,1
2018-12-06,203.75,189.75,0
2018-12-07,213.5,203.75,0
2018-12-10,225.25,213.5,0
2018-12-11,199.25,225.25,1
2018-12-12,207.0,199.25,0
