Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,Target
2017-11-29,-1.1666015433304668,-0.23633026118761566,0.2338334129853364,-1.199729436656186,-1.228694490518309,-1.1762047876272212,-1.1774851659284067,-1.170869660952088,-1.1668149125781402,-1.1685221921898177,-1.128402016798695
2017-11-30,-1.128402016798695,0.3730201824639149,1.0770726903829961,-1.2052427330544646,-1.232278799065358,-1.1666015433304668,-1.1762047876272212,-1.1774851659284067,-1.170869660952088,-1.1668149125781402,-1.1599859569465754
2017-12-01,-1.1599859569465754,-0.12269880342689107,-0.9585635862676651,-1.2104178514703332,-1.2359672028407753,-1.128402016798695,-1.1666015433304668,-1.1762047876272212,-1.1774851659284067,-1.170869660952088,-1.1934905459538065
2017-12-04,-1.1934905459538065,-0.6636742145417588,-1.0376117626626775,-1.2174683119867438,-1.239506404867399,-1.1599859569465754,-1.128402016798695,-1.1666015433304668,-1.1762047876272212,-1.1774851659284067,-1.2325437122914171
2017-12-05,-1.2325437122914171,-0.2504816511183594,-1.231947963796598,-1.2248671965262994,-1.2421850952519256,-1.1934905459538065,-1.1599859569465754,-1.128402016798695,-1.1666015433304668,-1.1762047876272212,-1.2176053413195294
2017-12-06,-1.2176053413195294,0.020496449139644737,0.41373052739618893,-1.231354030981237,-1.2446486580568343,-1.2325437122914171,-1.1934905459538065,-1.1599859569465754,-1.128402016798695,-1.1666015433304668,-1.2065082680663435
2017-12-07,-1.2065082680663435,-0.6175771126881479,0.2896365010844989,-1.2377896235048684,-1.2468728034248473,-1.2176053413195294,-1.2325437122914171,-1.1934905459538065,-1.1599859569465754,-1.128402016798695,-1.164040705320523
2017-12-08,-1.164040705320523,-0.46331295116588184,1.244247410140822,-1.2436308479356117,-1.2492218620080011,-1.2065082680663435,-1.2176053413195294,-1.2325437122914171,-1.1934905459538065,-1.1599859569465754,-1.2491892814674097
2017-12-11,-1.2491892814674097,3.036283744875571,-2.5644743358300284,-1.2491133983932647,-1.2512759863168215,-1.164040705320523,-1.2065082680663435,-1.2176053413195294,-1.2325437122914171,-1.1934905459538065,-1.2632740126334587
2017-12-12,-1.2632740126334587,0.6742626413856879,-0.4978073256149661,-1.2531612646861874,-1.2528686271626208,-1.2491892814674097,-1.164040705320523,-1.2065082680663435,-1.2176053413195294,-1.2325437122914171,-1.2397994878259013
2017-12-13,-1.2397994878259013,0.4233206674652714,0.6993133204680732,-1.2569016950281153,-1.255477921169444,-1.2632740126334587,-1.2491892814674097,-1.164040705320523,-1.2065082680663435,-1.2176053413195294,-1.3228140458657636
2017-12-14,-1.3228140458657636,0.5516639662431059,-2.6575861032234385,-1.2626814314868178,-1.2590830490268916,-1.2397994878259013,-1.2632740126334587,-1.2491892814674097,-1.164040705320523,-1.2065082680663435,-1.307235485743283
2017-12-15,-1.307235485743283,2.1879009128889035,0.4733680727127231,-1.2676003558829976,-1.2608734686887895,-1.3228140458657636,-1.2397994878259013,-1.2632740126334587,-1.2491892814674097,-1.164040705320523,-1.310223143656146
2017-12-18,-1.310223143656146,-0.008787120122983428,-0.15165549742422116,-1.270510720103029,-1.2623967131568854,-1.307235485743283,-1.3228140458657636,-1.2397994878259013,-1.2632740126334587,-1.2491892814674097,-1.3068086658403637
2017-12-19,-1.3068086658403637,-0.35052217003470637,0.06165523808712134,-1.2729189462336288,-1.265002536616829,-1.310223143656146,-1.307235485743283,-1.3228140458657636,-1.2397994878259013,-1.2632740126334587,-1.3110767834619848
2017-12-20,-1.3110767834619848,-0.09789884285519163,-0.19420400869617052,-1.273984714293744,-1.2674799776383776,-1.3068086658403637,-1.310223143656146,-1.307235485743283,-1.3228140458657636,-1.2397994878259013,-1.3025405482187427
2017-12-21,-1.3025405482187427,-0.43795253950781626,0.23273539069024637,-1.2761060004640292,-1.269860263201691,-1.3110767834619848,-1.3068086658403637,-1.310223143656146,-1.307235485743283,-1.3228140458657636,-1.2884558170526936
