Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,Target
2017-11-16,-1.3370036593433579,-0.8152909213158857,0.9712918816625875,-1.3496841511002204,-1.3737172256904084,-1.3575382212862446,-1.3629420723630359,-1.3551064934551829,-1.3632122185354267,-1.376721794692462,-1.3324104013885683
2017-11-17,-1.3324104013885683,-1.0023450223440966,0.1723472927843088,-1.350218500097826,-1.3715596384606334,-1.3370036593433579,-1.3575382212862446,-1.3629420723630359,-1.3551064934551829,-1.3632122185354267,-1.3202517622332592
2017-11-20,-1.3202517622332592,-0.7255004236673558,0.5263136503661636,-1.350909242590139,-1.368148681318045,-1.3324104013885683,-1.3370036593433579,-1.3575382212862446,-1.3629420723630359,-1.3551064934551829,-1.318900825231533
2017-11-21,-1.318900825231533,-0.9330489510188756,0.01629504287162941,-1.3514044919711528,-1.3651182108910593,-1.3202517622332592,-1.3324104013885683,-1.3370036593433579,-1.3575382212862446,-1.3629420723630359,-1.299447054117982
2017-11-22,-1.299447054117982,-0.3868328593965454,0.8455850751107087,-1.35008816804252,-1.3625264207019705,-1.318900825231533,-1.3202517622332592,-1.3324104013885683,-1.3370036593433579,-1.3575382212862446,-1.2937730053338568
2017-11-24,-1.2937730053338568,-1.0885121960017652,0.20476387808426352,-1.3488630765526015,-1.3596973851216616,-1.299447054117982,-1.318900825231533,-1.3202517622332592,-1.3324104013885683,-1.3370036593433579,-1.3064720399038334
2017-11-27,-1.3064720399038334,-0.9963438919842327,-0.6005929424325581,-1.3469602732900705,-1.3553822098083206,-1.2937730053338568,-1.299447054117982,-1.318900825231533,-1.3202517622332592,-1.3324104013885683,-1.3156585558134128
2017-11-28,-1.3156585558134128,-1.0306522410227,-0.4567784771625969,-1.3463868271617032,-1.3509954134058926,-1.3064720399038334,-1.2937730053338568,-1.299447054117982,-1.318900825231533,-1.3202517622332592,-1.3305190689721742
2017-11-29,-1.3305190689721742,-1.0872666783799065,-0.7224055557383525,-1.3456700182583288,-1.3470741549363205,-1.3156585558134128,-1.3064720399038334,-1.2937730053338568,-1.299447054117982,-1.318900825231533,-1.3216027507699286
2017-11-30,-1.3216027507699286,-1.0006465892233805,0.37218449804533343,-1.34359778580973,-1.3426425959935562,-1.3305190689721742,-1.3156585558134128,-1.3064720399038334,-1.2937730053338568,-1.299447054117982,-1.3180902321095314
2017-12-01,-1.3180902321095314,-0.9410882011235989,0.11602136737885727,-1.3416298165195464,-1.3373694879733333,-1.3216027507699286,-1.3305190689721742,-1.3156585558134128,-1.3064720399038334,-1.2937730053338568,-1.3413267195908136
2017-12-04,-1.3413267195908136,-0.8314826504000468,-1.1087665586052555,-1.339648814023832,-1.3320247597178143,-1.3180902321095314,-1.3216027507699286,-1.3305190689721742,-1.3156585558134128,-1.3064720399038334,-1.3343017338049623
2017-12-05,-1.3343017338049623,-1.1332376015139585,0.29074215671767045,-1.3389841354567504,-1.325408754996524,-1.3413267195908136,-1.3180902321095314,-1.3216027507699286,-1.3305190689721742,-1.3156585558134128,-1.3340315360976283
2017-12-06,-1.3340315360976283,-1.0844359565120463,-0.03300479564726169,-1.3390232350733422,-1.3165859240803304,-1.3343017338049623,-1.3413267195908136,-1.3180902321095314,-1.3216027507699286,-1.3305190689721742,-1.317549888229807
2017-12-07,-1.317549888229807,-0.9845680890139337,0.7322277688069125,-1.3383846229173217,-1.3085016861789658,-1.3340315360976283,-1.3343017338049623,-1.3413267195908136,-1.3180902321095314,-1.3216027507699286,-1.3245748740156582
2017-12-08,-1.3245748740156582,-0.9995143004762362,-0.3668025272755767,-1.3366382131494985,-1.2990297881824064,-1.317549888229807,-1.3340315360976283,-1.3343017338049623,-1.3413267195908136,-1.3180902321095314,-1.337273857050692
2017-12-11,-1.337273857050692,-0.8922865561216867,-0.6340917977211815,-1.3349830333345596,-1.2898488509669872,-1.3245748740156582,-1.317549888229807,-1.3340315360976283,-1.3343017338049623,-1.3413267195908136,-1.3513238286223948
2017-12-12,-1.3513238286223948,-0.731841240651363,-0.7132987549129441,-1.332975964427784,-1.2782551762851964,-1.337273857050692,-1.3245748740156582,-1.317549888229807,-1.3340315360976283,-1.3343017338049623,-1.3402459802964215
2017-12-13,-1.3402459802964215,-1.023292364166263,0.49585564552142863,-1.3303172501594576,-1.2680715429687683,-1.3513238286223948,-1.337273857050692,-1.3245748740156582,-1.317549888229807,-1.3340315360976283,-1.3199816160608686
2017-12-14,-1.3199816160608686,-0.7953626393661489,0.9228080604253132,-1.3240353892718382,-1.2589980382407702,-1.3402459802964215,-1.3513238286223948,-1.337273857050692,-1.3245748740156582,-1.317549888229807,-1.3167392951078052
2017-12-15,-1.3167392951078052,-0.17668006792659413,0.1031056385114439,-1.3159810522053341,-1.250412451862006,-1.3199816160608686,-1.3402459802964215,-1.3513238286223948,-1.337273857050692,-1.3245748740156582,-1.2959345354575846
2017-12-18,-1.2959345354575846,-1.0511466673460088,0.9035078359647638,-1.3102465735208508,-1.2421402083883402,-1.3167392951078052,-1.3199816160608686,-1.3402459802964215,-1.3513238286223948,-1.337273857050692,-1.3186306275241992
2017-12-19,-1.3186306275241992,-1.067678083054313,-1.0413475496490554,-1.30288298143249,-1.234548365261001,-1.2959345354575846,-1.3167392951078052,-1.3199816160608686,-1.3402459802964215,-1.3513238286223948,-1.321062355355261
2017-12-20,-1.321062355355261,-1.0888518826259084,-0.1571268410816133,-1.2920787026306049,-1.2267103238928583,-1.3186306275241992,-1.2959345354575846,-1.3167392951078052,-1.3199816160608686,-1.3402459802964215,-1.3056614467818317
2017-12-21,-1.3056614467818317,-0.9034962147184137,0.6628568357482729,-1.2822518918710464,-1.2165222150054291,-1.321062355355261,-1.3186306275241992,-1.2959345354575846,-1.3167392951078052,-1.3199816160608686,-1.263241385894332
2017-12-22,-1.263241385894332,-0.47107514218406893,1.8492353509101975,-1.2739759952821819,-1.2073412777900099,-1.3056614467818317,-1.321062355355261,-1.3186306275241992,-1.2959345354575846,-1.3167392951078052,-1.2594586695266008
2017-12-26,-1.2594586695266008,-0.8660174571879429,0.11067275193870973,-1.264996320509644,-1.1997583875122544,-1.263241385894332,-1.3056614467818317,-1.321062355355261,-1.3186306275241992,-1.2959345354575846,-1.2648625206033923
2017-12-27,-1.2648625206033923,-0.8251418334160396,-0.26777910415611833,-1.251924313662031,-1.190617738119961,-1.2594586695266008,-1.263241385894332,-1.3056614467818317,-1.321062355355261,-1.3186306275241992,-1.2605394603559363
2017-12-28,-1.2605394603559363,-0.7851720406418516,0.1335279487292995,-1.238070331883391,-1.1804743917728682,-1.2648625206033923,-1.2594586695266008,-1.263241385894332,-1.3056614467818317,-1.321062355355261,-1.2002867630639458
2017-12-29,-1.2002867630639458,-0.34765566874535836,2.434329938213448,-1.2264971088701795,-1.1704205722140295,-1.2605394603559363,-1.2648625206033923,-1.2594586695266008,-1.263241385894332,-1.3056614467818317,-1.1546243812233827
2018-01-02,-1.1546243812233827,0.07672615368426304,1.6552617534721532,-1.2143895368593625,-1.160053409750092,-1.2002867630639458,-1.2605394603559363,-1.2648625206033923,-1.2594586695266008,-1.263241385894332,-1.1992059722346102
2018-01-03,-1.1992059722346102,-0.10217546836451012,-1.5950222880011262,-1.2001706352691848,-1.150048830010172,-1.1546243812233827,-1.2002867630639458,-1.2605394603559363,-1.2648625206033923,-1.2594586695266008,-1.1886685193233046
2018-01-04,-1.1886685193233046,-0.5060628644708227,0.3461105221817554,-1.1874114203826467,-1.1396682382718593,-1.1992059722346102,-1.1546243812233827,-1.2002867630639458,-1.2605394603559363,-1.2648625206033923,-1.110312987919489
2018-01-05,-1.110312987919489,3.2152041030183733,2.820661811667038,-1.1683182117863664,-1.1295651788941017,-1.1886685193233046,-1.1992059722346102,-1.1546243812233827,-1.2002867630639458,-1.2605394603559363,-1.1303071544477081
2018-01-08,-1.1303071544477081,0.7282450987909977,-0.6980810819108872,-1.1425521560798682,-1.1193233546167527,-1.110312987919489,-1.1886685193233046,-1.1992059722346102,-1.1546243812233827,-1.2002867630639458,-1.1459782607284712
2018-01-09,-1.1459782607284712,-0.5809071506570499,-0.5715526436614563,-1.1192493190445676,-1.1086025622783813,-1.1303071544477081,-1.110312987919489,-1.1886685193233046,-1.1992059722346102,-1.1546243812233827,-1.1384128795279518
2018-01-10,-1.1384128795279518,-0.9770949832827824,0.21383831672007902,-1.0940958065971988,-1.0958316143438651,-1.1459782607284712,-1.1303071544477081,-1.110312987919489,-1.1886685193233046,-1.1992059722346102,-1.0662717407879863
2018-01-11,-1.0662717407879863,-0.5110449349582569,2.402843268650431,-1.0704280472645307,-1.0840723153599416,-1.1384128795279518,-1.1459782607284712,-1.1303071544477081,-1.110312987919489,-1.1886685193233046,-1.0641102106642584
2018-01-12,-1.0641102106642584,-0.2926264356341534,0.02071271684376498,-1.0400613744105833,-1.0711312675522913,-1.0662717407879863,-1.1384128795279518,-1.1459782607284712,-1.1303071544477081,-1.110312987919489,-1.1003158788879082
2018-01-16,-1.1003158788879082,-0.4791143922887923,-1.1561621824006736,-1.013409078128813,-1.058897477785928,-1.0641102106642584,-1.0662717407879863,-1.1384128795279518,-1.1459782607284712,-1.1303071544477081,-1.0689736663263818
2018-01-17,-1.0689736663263818,-0.7636585544461132,0.962862224684196,-0.9928170856981317,-1.0448597306642233,-1.1003158788879082,-1.0641102106642584,-1.0662717407879863,-1.1384128795279518,-1.1459782607284712,-1.0219603474840926
2018-01-18,-1.0219603474840926,-0.6562043523421348,1.405249276402123,-0.9754702868696747,-1.0312472336522487,-1.0689736663263818,-1.1003158788879082,-1.0641102106642584,-1.0662717407879863,-1.1384128795279518,-1.0314170611010058
